Fecha,Hora (UTC),HR
17-07-2022,12:00,95.0
17-07-2022,13:00,90.0
17-07-2022,14:00,85.0
17-07-2022,15:00,72.0
17-07-2022,16:00,71.0
17-07-2022,17:00,60.0
17-07-2022,18:00,55.0
17-07-2022,19:00,52.0
17-07-2022,20:00,60.0
17-07-2022,21:00,60.0
17-07-2022,22:00,70.0
17-07-2022,23:00,66.0
18-07-2022,0:00,79.0
18-07-2022,1:00,83.1
18-07-2022,2:00,86.1
18-07-2022,3:00,88.0
18-07-2022,4:00,87.8
18-07-2022,5:00,87.9
18-07-2022,6:00,91.0
18-07-2022,7:00,93.5
18-07-2022,8:00,95.0
18-07-2022,9:00,96.0
18-07-2022,10:00,96.0
18-07-2022,11:00,96.0
18-07-2022,12:00,96.0
18-07-2022,13:00,96.0
18-07-2022,14:00,81.0
18-07-2022,15:00,61.0
18-07-2022,16:00,46.0
18-07-2022,17:00,37.0
18-07-2022,18:00,31.0
18-07-2022,19:00,27.0
18-07-2022,20:00,26.0
18-07-2022,21:00,27.0
18-07-2022,22:00,45.0
18-07-2022,23:00,63.0
19-07-2022,0:00,74.0
19-07-2022,1:00,84.5
19-07-2022,2:00,90.0
19-07-2022,3:00,92.0
19-07-2022,4:00,92.9
19-07-2022,5:00,94.6
19-07-2022,6:00,95.0
19-07-2022,7:00,95.4
19-07-2022,8:00,95.4
19-07-2022,9:00,95.0
19-07-2022,10:00,96.0
19-07-2022,11:00,96.0
19-07-2022,12:00,97.0
19-07-2022,13:00,97.0
19-07-2022,14:00,77.0
19-07-2022,15:00,49.0
19-07-2022,16:00,39.0
19-07-2022,17:00,32.0
19-07-2022,18:00,27.0
19-07-2022,19:00,24.0
19-07-2022,20:00,27.0
19-07-2022,21:00,34.0
19-07-2022,22:00,49.0
19-07-2022,23:00,73.0
20-07-2022,0:00,82.0
20-07-2022,1:00,86.5
20-07-2022,2:00,87.1
20-07-2022,3:00,89.0
20-07-2022,4:00,92.7
20-07-2022,5:00,92.9
20-07-2022,6:00,93.0
20-07-2022,7:00,94.0
20-07-2022,8:00,95.7
20-07-2022,9:00,96.0
20-07-2022,10:00,96.4
20-07-2022,11:00,97.0
20-07-2022,12:00,97.0
20-07-2022,13:00,98.0
20-07-2022,14:00,73.0
20-07-2022,15:00,49.0
20-07-2022,16:00,38.0
20-07-2022,17:00,33.0
20-07-2022,18:00,37.0
