Fecha,Hora (UTC),HR
24-07-2023,19:00,37.0
24-07-2023,20:00,37.0
24-07-2023,21:00,39.0
24-07-2023,22:00,59.0
24-07-2023,23:00,80.0
25-07-2023,0:00,86.0
25-07-2023,1:00,93.2
25-07-2023,2:00,97.7
25-07-2023,3:00,99.0
25-07-2023,4:00,99.1
25-07-2023,5:00,98.7
25-07-2023,6:00,99.0
25-07-2023,7:00,97.8
25-07-2023,8:00,95.1
25-07-2023,9:00,98.0
25-07-2023,10:00,94.0
25-07-2023,11:00,98.0
25-07-2023,12:00,100.0
25-07-2023,13:00,99.0
25-07-2023,14:00,70.0
25-07-2023,15:00,60.0
25-07-2023,16:00,55.0
25-07-2023,17:00,50.0
25-07-2023,18:00,45.0
25-07-2023,19:00,50.0
25-07-2023,20:00,61.0
25-07-2023,21:00,71.0
25-07-2023,22:00,85.0
25-07-2023,23:00,88.0
26-07-2023,0:00,88.0
26-07-2023,1:00,85.3
26-07-2023,2:00,88.5
26-07-2023,3:00,98.0
26-07-2023,4:00,99.6
26-07-2023,5:00,100.0
26-07-2023,6:00,100.0
26-07-2023,7:00,100.0
26-07-2023,8:00,99.9
26-07-2023,9:00,100.0
26-07-2023,10:00,100.0
26-07-2023,11:00,100.0
26-07-2023,12:00,100.0
26-07-2023,13:00,98.0
26-07-2023,14:00,92.0
26-07-2023,15:00,83.0
26-07-2023,16:00,77.0
26-07-2023,17:00,68.0
26-07-2023,18:00,58.0
26-07-2023,19:00,56.0
26-07-2023,20:00,48.0
26-07-2023,21:00,60.0
26-07-2023,22:00,71.0
26-07-2023,23:00,81.0
27-07-2023,0:00,86.0
27-07-2023,1:00,85.5
27-07-2023,2:00,81.5
27-07-2023,3:00,86.0
27-07-2023,4:00,91.0
27-07-2023,5:00,94.2
27-07-2023,6:00,95.0
27-07-2023,7:00,97.3
27-07-2023,8:00,100.0
27-07-2023,9:00,100.0
27-07-2023,10:00,100.0
27-07-2023,11:00,100.0
27-07-2023,12:00,100.0
27-07-2023,13:00,100.0
27-07-2023,14:00,74.0
27-07-2023,15:00,64.0
27-07-2023,16:00,58.0
27-07-2023,17:00,54.0
27-07-2023,18:00,46.0
27-07-2023,19:00,40.0
27-07-2023,20:00,34.0
27-07-2023,21:00,33.0
27-07-2023,22:00,47.0
27-07-2023,23:00,70.0
28-07-2023,0:00,83.0
28-07-2023,1:00,81.4
28-07-2023,2:00,81.5
28-07-2023,3:00,88.0
28-07-2023,4:00,94.5
28-07-2023,5:00,96.9
28-07-2023,6:00,97.0
28-07-2023,7:00,96.4
28-07-2023,8:00,98.1
28-07-2023,9:00,99.0
28-07-2023,10:00,99.0
28-07-2023,11:00,99.0
28-07-2023,12:00,100.0
28-07-2023,13:00,92.0
28-07-2023,14:00,70.0
28-07-2023,15:00,52.0
